localminute,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,Power_consumption,Big Delta,rrh_0,rrh_1,rrh_2,rrh_3,rrh_4,rrh_5,rrh_6,rrh_7,rrh_8,rrh_9,rrh_10,rrh_11,rrh_12,rrh_13,rrh_14,rrh_15,rrh_16,rrh_17,rrh_18,rrh_19,rrh_20,rrh_21,rrh_22
3-Jan-01,0.580583333,0.259233333,0.127716667,0.140466667,0.3271,0.202866667,2.049616667,0.634983333,0.623133333,0.608733333,0.33355,0.253316667,0.415666667,0.10465,0.359766667,0.339916667,0.153333333,0.257233333,0.330683333,0.389266667,0.504866667,0.401683333,0.835216667,10.23358333,6.958836667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-02,0.561966667,0.2741,0.167133333,0.13415,0.278866667,0.200916667,1.9501,0.457566667,0.522683333,0.4932,0.370633333,0.25055,0.217,0.101316667,0.3829,0.512883333,0.1515,0.13875,0.32095,0.4564,0.2461,0.380566667,0.272933333,8.843166667,6.013353333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-03,0.564266667,0.264033333,0.088483333,0.153283333,0.29695,0.2084,2.015033333,0.419366667,0.705683333,0.675283333,0.413733333,0.2485,0.14605,0.08265,0.443766667,0.471733333,0.176433333,0.17485,0.279316667,0.415766667,0.211033333,0.34225,0.151683333,8.94855,6.085014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-04,0.559966667,0.2445,0.090883333,0.1577,0.442,0.1958,1.63285,0.375066667,0.65755,0.349616667,0.4173,0.262433333,0.145133333,0.089016667,0.48045,0.434116667,0.154266667,0.222033333,0.290416667,0.388266667,0.184733333,0.308433333,0.147,8.229533333,5.596082667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-05,0.559283333,0.28485,0.179916667,0.15475,0.330066667,0.19965,1.590233333,0.3372,0.663833333,0.329566667,0.373866667,0.25905,0.14595,0.090116667,0.4714,0.366866667,0.144483333,0.1398,0.3094,0.382783333,0.198133333,0.27605,0.137666667,7.924916667,5.388943333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-06,0.566183333,0.338916667,0.088183333,0.127616667,0.34515,0.206966667,1.4302,0.32685,0.64275,0.2597,0.395283333,0.232383333,0.1454,0.09865,0.381333333,0.449383333,0.187616667,0.142933333,0.253583333,0.492216667,0.3029,0.308266667,0.261616667,7.984083333,5.429176667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-07,0.81985,0.304233333,0.088333333,0.222516667,0.279166667,0.1962,0.513633333,0.325816667,0.717116667,0.351,0.5238,0.225033333,0.212683333,0.157483333,0.3836,0.364433333,0.41095,0.300083333,0.311433333,0.4032,0.359966667,0.350966667,0.4147,8.2362,5.600616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-08,1.297466667,0.75075,0.181583333,0.282616667,0.27145,0.1963,0.557283333,0.346633333,0.6461,0.358416667,0.4303,0.522266667,0.2145,0.11095,0.386116667,0.459683333,0.354116667,0.24385,0.286816667,0.408,0.355116667,0.326633333,0.424733333,9.411683333,6.399944667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-09,1.220116667,0.450233333,0.184933333,0.449583333,0.538183333,0.228983333,0.52565,0.329683333,0.744516667,0.310766667,0.581283333,0.8116,0.6637,0.297,0.432116667,0.6463,0.352683333,0.080016667,0.2387,0.834116667,0.367683333,0.2234,0.4245,10.93575,7.43631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-10,1.286916667,0.239766667,0.1844,0.174966667,0.489833333,0.990633333,0.3757,0.333333333,0.670366667,0.3345,0.658766667,0.86465,0.261183333,0.40495,1.1849,0.52835,0.177583333,0.080083333,0.209283333,1.1838,0.214816667,-0.0293,0.4219,11.27068333,7.664064667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-11,1.17765,0.2539,0.139933333,0.091383333,0.689633333,0.498916667,0.192716667,0.327566667,0.670016667,1.272016667,0.63245,1.01225,0.307083333,0.524233333,0.6234,0.578883333,0.180983333,0.220516667,0.66695,1.214133333,0.39075,-0.4722,0.42115,12.08651667,8.218831333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-12,0.884716667,0.261633333,0.11365,0.113633333,0.434666667,0.437583333,0.206733333,0.291933333,0.67985,0.828983333,0.353666667,1.29535,0.280366667,0.282816667,0.352216667,0.52715,0.713283333,0.3476,1.209566667,0.779783333,0.773783333,-0.774633333,0.264483333,11.43345,7.774746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-13,1.4288,0.19095,0.1672,0.490833333,0.413316667,0.379716667,0.359233333,0.626383333,0.67435,1.02575,0.35745,1.327066667,0.156416667,0.236583333,0.351166667,0.855733333,0.47565,0.383016667,0.76415,0.509633333,0.715283333,-0.960333333,0.200583333,12.08926667,8.220701333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-14,0.94415,0.182833333,0.154583333,0.2307,0.370583333,0.2909,0.49135,1.007183333,0.611016667,0.584183333,0.50595,1.188766667,0.150783333,0.363583333,0.416916667,0.967466667,0.5862,0.493683333,0.426033333,0.524033333,0.590016667,-0.667916667,0.206566667,11.28748333,7.675488667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Jan-15,0.8367,0.213083333,0.11315,0.09615,0.395666667,0.307716667,0.683683333,1.312966667,0.645066667,0.492366667,0.507583333,0.59755,0.148216667,0.095366667,0.254866667,1.0857,0.513216667,0.267666667,0.17675,0.581966667,0.312133333,-0.700316667,0.21395,9.851516667,6.699031333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
